Source URL,Target URL,Link Text,Link Type,Follow Type,HTTP Status,Redirect Chain,Content Type,In Navigation,Link Depth,Link Quality Score
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/industrial/key-factors-to-consider-when-selecting-a-stereo-microscope/,How to Select the Right Stereo Microscope,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/industrial/technical-terms-for-digital-microscope-cameras-and-image-analysis/,Digital Microscope Camera & Imaging Technical Terms,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/industrial/he-staining-in-microscopy/,H&E Staining in Microscopy,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/authors/,Authors,Internal Page,Follow,ERR,,html,No,2,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/institutions/,Institutions,Internal Page,Follow,ERR,,html,No,2,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/webinars/,Webinars,Internal Page,Follow,ERR,,html,No,2,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/collaborations/,Collaborations,Internal Page,Follow,ERR,,html,No,2,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/collaborations/micron-bioimaging-facility-at-university-of-oxford/,Micron Bioimaging Facility at the University of Oxford,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/collaborations/the-boston-and-san-francisco-innovation-hubs/,Boston and San Francisco Innovation Hubs,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/collaborations/embl-imaging-centre/,EMBL Imaging Centre Collaboration,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/science-lab/collaborations/imperial-college-london/,Imperial College London & Leica Microsystems Imaging Hub,Internal Page,Follow,ERR,,html,No,3,100.00
https://www.leica-microsystems.com/,https://www.leica-microsystems.com/company/about-us/,Company,Internal Page,Follow,ERR,,html,No,2,100.00
