severity,file,line,kind,target,note
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,218,backtick-path,"tests/test-indexes-fresh.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/tests/test-indexes-fresh.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,219,md-link,".markdown-link-check.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.markdown-link-check.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,224,md-link,"scripts/mx-validator.cjs","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/mx-validator.cjs"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,224,backtick-path,"scripts/mx-validator.js","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/mx-validator.js"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,224,backtick-path,"scripts/package.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/scripts/package.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-reginald/attestations/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/attestations"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-reginald/audit/bin/tableHandlers/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/audit/bin/tableHandlers"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-reginald/docs/spec-archive/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/docs/spec-archive"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-reginald/tests/conformance/","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/tests/conformance"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-canon/mx-maxine-lives/routing-registry.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/routing-registry.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-canon/ssot/definitions-index.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/ssot/definitions-index.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,md-link,"mx-reginald/index.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/index.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,backtick-path,"mx-canon/mx-maxine-lives/routing-registry.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/mx-maxine-lives/routing-registry.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,backtick-path,"mx-canon/ssot/definitions-index.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/ssot/definitions-index.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,225,backtick-path,"mx-reginald/index.json","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-reginald/index.json"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,226,md-link,".claude/skills/step-commit/skill.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/.claude/skills/step-commit/skill.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,227,md-link,"UBERCOG.cog.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/UBERCOG.cog.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,228,md-link,"LEARNINGS.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/LEARNINGS.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,244,md-link,"mx-canon/ssot/principles.cog.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/mx-canon/ssot/principles.cog.md"
LOW,mx-canon/mx-maxine-lives/management/changelog-archives/changelog-archive-2026-05-26.md,244,md-link,"CLAUDE.md","resolved=mx-canon/mx-maxine-lives/management/changelog-archives/CLAUDE.md"
